country,latitude,longitude
Albania,41.000028,19.9999619
Austria,47.2000338,13.199959
Belgium,50.6402809,4.6667145
Bulgaria,42.6073975,25.4856617
Bosnia and Herzegovina,44.3053476,17.5961467
Switzerland,46.7985624,8.2319736
Cyprus,34.9823018,33.1451285
Czech Republic,49.8167003,15.4749544
Germany,51.0834196,10.4234469
Denmark,55.670249,10.3333283
Estonia,58.7523778,25.3319078
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
United Kingdom,54.7023545,-3.2765753
Croatia,45.5643442,17.0118954
Hungary,47.1817585,19.5060937
Italy,42.6384261,12.674297
Kosovo,42.5869578,20.9021231
Lithuania,55.3500003,23.7499997
Luxembourg,49.8158683,6.1296751
Latvia,56.8406494,24.7537645
Monaco,43.7323492,7.4276832
Moldova,47.2879608,28.5670941
Macedonia,41.6171214,21.7168387
Malta,35.8885993,14.4476911
Montenegro,42.9868853,19.5180992
Netherlands,52.5001698,5.7480821
Norway,64.5731537,11.52803643954819
Poland,52.215933,19.134422
Romania,45.9852129,24.6859225
Russia,64.6863136,97.7453061
San Marino,43.9458623,12.458306
Republic of Serbia,44.024322850000004,21.07657433209902
Slovakia,48.7411522,19.4528646
Slovenia,45.8133113,14.4808369
Sweden,59.6749712,14.5208584
